indexNCT04502056重复_由于各措施对应结局,nctid,outcome_description,participate_group_num,outcome_group_num,group_info,outcome,standard_outcome,standard_outcome_id,outcome_id,"checker (Manually add results if checker is empty,Manually filter if the number of checkers is greater than or equal to 2)",Time_Frame
268,NCT04362137,Mortality Rate,O1:287|O2:145|O1:286|O2:145|O1:286|O2:145,O1:6|O2:2|O1:9|O2:3,Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo,Mortality,Death ,indicator_16,outcome_258,"['Mortality Rate', 'Mortality']",Time Frame: during the survey administration 
269,NCT04362137,Proportion of Patients Requiring Mechanical Ventilation,O1:286|O2:145,O1:22|O2:10,Ruxolitinib 5 mg|Placebo,Mechanical Ventilation,Mechanical Ventilation,indicator_9,outcome_259,"['mechanical Ventilation', 'Mechanical Ventilation']",Time Frame: 29 days 
270,NCT04362137,Duration of Hospitalization,O1:286|O2:145,O1:9.0|O2:9.0,Ruxolitinib 5 mg|Placebo,Hospitalization,Hospitalization,indicator_18,outcome_260,"['Hospitalization', 'hospitalization', 'Hospital']",Time Frame: Day 29 
271,NCT04362137,Time to Hospital Discharge or to a NEWS2 Score of ≤2,O1:286|O2:145,O1:4.0|O2:4.0,Ruxolitinib 5 mg|Placebo,discharge,Discharge,indicator_80,outcome_261,"['NEWS2 Score', 'discharge', 'Discharge', 'Hospital']",Time Frame: Day 29 
272,NCT04362137,Change From Baseline in NEWS2 Score,O1:287|O2:145|O1:264|O2:135|O1:230|O2:120|O1:175|O2:91|O1:113|O2:66|O1:257|O2:132|O1:234|O2:122,O1:-0.7|O2:-0.6|O1:-1.0|O2:-0.8|O1:-1.3|O2:-1.3|O1:-1.1|O2:-1.3|O1:-1.9|O2:-2.2|O1:-2.3|O2:-2.5,Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo,NEWS2 Score,NEWS2 Score,indicator_112,outcome_262,['NEWS2 Score'],Time Frame: At the begining of inhalation (day 1) and on next day of last inhalation (day 11) 
273,NCT04362137,Change From Baseline in SpO2/FiO2 Ratio,O1:287|O2:145|O1:260|O2:132|O1:232|O2:124,O1:90.110|O2:106.766|O1:105.553|O2:109.710,Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo,SpO2/FiO2 Ratio ,SpO2/FiO2 Ratio ,indicator_113,outcome_263,"['SpO2', 'SpO2/FiO2 Ratio']",Time Frame: Days 1 - 29. 
274,NCT04362137,Proportion of Patients With no Oxygen Therapy,O1:287|O2:145|O1:274|O2:140|O1:269|O2:139,O1:255|O2:133|O1:262|O2:136,Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo,no Oxygen Therapy ,Oxygen,indicator_8,outcome_264,"['Oxygen', 'Oxygen Therapy', 'no Oxygen Therapy']",Time Frame: At the beginning of inhalation (day 1) and on next day of last inhalation (day 11) 
275,NCT04362137,All Collected Deaths,O1:287|O2:145|O1:281|O2:143|O1:287|O2:145,O1:9|O2:3|O1:9|O2:3,Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo|Ruxolitinib 5 mg|Placebo,Death,Death ,indicator_16,outcome_265,['Death'],NA
276,NCT04724538,Count of White Blood Cells (WBC) After 99mTc-pertechnetate Aerosol Inhalation for Adverse Events Monitoring as Evaluation Safety of This Procedure in Patients With COVID-19 Viral Pneumonia.,O1:11|O2:14,O1:11.2|O2:9.8|O1:9.7|O2:8.7|O1:8.8|O2:9.3,Patient With COVID-19 Pneumonia|Patient With COVID-19 Pneumonia Without Intervention,Adverse,Adverse,indicator_10,outcome_266,"['Adverse Events', 'Adverse', 'Adverse Event']",NA
277,NCT04724538,Count of Red Blood Cells (RBC) After 99mTc-pertechnetate Aerosol Inhalation for Adverse Events Monitoring as Evaluation Safety of This Procedure in Patients With COVID-19 Viral Pneumonia.,O1:11|O2:14,O1:4.5|O2:4.5|O1:4.3|O2:4.4|O1:4.2|O2:4.4,Patient With COVID-19 Pneumonia|Patient With COVID-19 Pneumonia Without Intervention,Adverse,Adverse,indicator_10,outcome_267,"['Adverse Events', 'Adverse', 'Adverse Event']",NA
278,NCT04724538,Hemoglobin Count (Hb) After 99mTc-pertechnetate Aerosol Inhalation for Adverse Events Monitoring as Evaluation Safety of This Procedure in Patients With COVID-19 Viral Pneumonia.,O1:11|O2:14,O1:140.5|O2:132|O1:137.5|O2:130.6|O1:135.3|O2:131,Patient With COVID-19 Pneumonia|Patient With COVID-19 Pneumonia Without Intervention,Adverse,Adverse,indicator_10,outcome_268,"['Adverse Events', 'Adverse', 'Adverse Event', 'Hemoglobin']",NA
279,NCT04724538,Percentage of Neutrophils (N) After 99mTc-pertechnetate Aerosol Inhalation for Adverse Events Monitoring as Evaluation Safety of This Procedure in Patients With COVID-19 Viral Pneumonia.,O1:11|O2:14,O1:76.3|O2:72.2|O1:68.8|O2:72.2|O1:68.4|O2:71.5,Patient With COVID-19 Pneumonia|Patient With COVID-19 Pneumonia Without Intervention,Neutrophils,Neutrophils,indicator_71,outcome_269,"['Adverse Events', 'Adverse', 'Neutrophils', 'Adverse Event']",NA
280,NCT04724538,Absolute Neutrophil Count (ANC) After 99mTc-pertechnetate Aerosol Inhalation for Adverse Events Monitoring as Evaluation Safety of This Procedure in Patients With COVID-19 Viral Pneumonia.,O1:11|O2:14,O1:8.8|O2:7.4|O1:6.8|O2:6.6|O1:6.2|O2:6.9,Patient With COVID-19 Pneumonia|Patient With COVID-19 Pneumonia Without Intervention,Adverse,Adverse,indicator_10,outcome_270,"['Adverse Events', 'Adverse', 'Adverse Event']",NA
281,NCT04724538,Absolute Lymphocyte Count (ALC) After 99mTc-pertechnetate Aerosol Inhalation for Adverse Events Monitoring as Evaluation Safety of This Procedure in Patients With COVID-19 Viral Pneumonia.,O1:11|O2:14,O1:1.6|O2:1.6|O1:2.1|O2:1.4|O1:1.64|O2:1.73,Patient With COVID-19 Pneumonia|Patient With COVID-19 Pneumonia Without Intervention,Adverse,Adverse,indicator_10,outcome_271,"['Adverse Events', 'Adverse', 'Adverse Event', 'Lymphocyte Count']",NA
282,NCT04724538,Level of Lactate in the Blood After 99mTc-pertechnetate Aerosol Inhalation for Adverse Events Monitoring as Evaluation Safety of This Procedure in Patients With COVID-19 Viral Pneumonia.,O1:11|O2:14,O1:5|O2:4.11|O1:4.4|O2:4.6|O1:4.28|O2:4.81,Patient With COVID-19 Pneumonia|Patient With COVID-19 Pneumonia Without Intervention,Adverse,Adverse,indicator_10,outcome_272,"['Adverse Events', 'Adverse', 'Adverse Event']",NA
283,NCT04724538,Level of D-dimer in Blood After 99mTc-pertechnetate Aerosol Inhalation for Adverse Events Monitoring as Evaluation Safety of This Procedure in Patients With COVID-19 Viral Pneumonia.,O1:11|O2:14,O1:1737|O2:1284|O1:843|O2:685|O1:383|O2:859,Patient With COVID-19 Pneumonia|Patient With COVID-19 Pneumonia Without Intervention,D-dimer,D-dimer,indicator_51,outcome_273,"['Adverse Events', 'D-dimer', 'Adverse', 'Adverse Event']",NA
284,NCT04724538,Level of CD4+ T-cells in Blood After 99mTc-pertechnetate Aerosol Inhalation for Evaluation of Cellular Immune Response After This Procedure in Patients With COVID-19 Viral Pneumonia,O1:11|O2:14,O1:761|O2:614|O1:1100|O2:832|O1:845|O2:718,Patient With COVID-19 Pneumonia|Patient With COVID-19 Pneumonia Without Intervention,CD4+,CD4+,indicator_114,outcome_274,['CD4+'],NA
285,NCT04724538,Level of NK-cells in Blood After 99mTc-pertechnetate Aerosol Inhalation for Evaluation of Cellular Immune Response After This Procedure in Patients With COVID-19 Viral Pneumonia,O1:11|O2:14,O1:153|O2:164|O1:188|O2:149|O1:219|O2:181,Patient With COVID-19 Pneumonia|Patient With COVID-19 Pneumonia Without Intervention,NK-cells,NK-cells,indicator_115,outcome_275,[],NA
286,NCT04674644,The Psychosocial Effects of COVID-19 Pandemic on Dental Professionals Using the Turkish Version of the Fear of COVID-19 Scale,O1:813,O1:18.48,Analysing the Psychosocial Effects of COVID-19 Pandemic on Dental Professionals,Fear,Fear,indicator_116,outcome_276,"['Fear', 'Effect', 'Psychosocial']","Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 "
287,NCT04674644,The Psychosocial Effects of COVID-19 Pandemic Using the Turkish Version of the Coronavirus Anxiety Scale,O1:813,O1:2.17,The Psychosocial Effects of COVID-19 Using the Turkish Version of the Coronavirus Anxiety Scale,Psychosocial ,Psychosocial ,indicator_117,outcome_277,"['Effect', 'Psychosocial']","Time Frame: Day 14, chronic phase "
288,NCT04345653,Recruitment Feasibility,O1:46,O1:46,Study Arm,Recruitment Feasibility ,Recruitment Feasibility ,indicator_118,outcome_278,['Recruitment Feasibility'],Time Frame: Baseline to Day 29 
289,NCT04345653,Resource Utilization,O1:46,O1:46,Study Arm - Hydroxychloroquine Sulfate (HCQ),Resource Utilization ,Resource Utilization ,indicator_119,outcome_279,['Resource Utilization'],Time Frame: Baseline to Day 29 
290,NCT04345653,Safety as Reflected on the Number and Severity of Adverse Events and Serious Adverse Events,O1:46,O1:0|O1:24,Study Arm - Hydroxychloroquine Sulfate (HCQ),Adverse Events,Adverse,indicator_10,outcome_280,"['Adverse Events', 'Adverse', 'Adverse Event']",Time Frame: 22 days after randomization. 
291,NCT04345653,Early Feasibility as Reflected on the Number of Participants Contracting COVID-19 (10% or Less) in Comparison to the Expected 30% as Per CDC.,O1:46,O1:0,Study Arm - Hydroxychloroquine Sulfate (HCQ),Early Feasibility,Early Feasibility,indicator_120,outcome_281,['Early Feasibility'],"Time Frame: Day 1, 3, 5, 8, 11, 15, 22, and 29 "
292,NCT04338009,Hierarchical Composite Endpoint,O1:77|O2:75,O1:81|O2:73,Discontinuation Arm|Continuation Arm,Hierarchical Composite,Hierarchical Composite,indicator_121,outcome_282,['Hierarchical Composite'],Time Frame: Day 1 through Day 29 
293,NCT04338009,All-Cause Death,O1:77|O2:75,O1:10|O2:11,Discontinuation Arm|Continuation Arm,Death ,Death ,indicator_16,outcome_283,['Death'],"Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 "
294,NCT04338009,Length of Hospital Stay,O1:77|O2:75,O1:5|O2:6,Discontinuation Arm|Continuation Arm,Hospital ,Hospitalization,indicator_18,outcome_284,['Hospital'],Time Frame: Day 3 
295,NCT04338009,"Length of ICU Stay, Invasive Mechanical Ventilation or Extracorporeal Membrane Oxygenation",O1:77|O2:75,O1:15|O2:13,Discontinuation Arm|Continuation Arm,"ICU Stay, Invasive Mechanical Ventilation or Extracorporeal Membrane Oxygenation ",ICU,indicator_97,outcome_285,"['Oxygen', 'mechanical Ventilation', 'Mechanical Ventilation', 'ICU Stay, Invasive Mechanical Ventilation or Extracorporeal Membrane Oxygenation', 'Invasive Mechanical Ventilation', 'ICU']","Time Frame: Days 15, 21, 28 "
296,NCT04338009,AUC SOFA,O1:77|O2:75,O1:7|O2:12,Discontinuation Arm|Continuation Arm,AUC SOFA ,AUC SOFA ,indicator_122,outcome_286,['AUC SOFA'],"Time Frame: Through study completion, an average of 3 months "
297,NCT04342663,Number of Participants Who Met Clinical Worsening,O1:80|O2:72,O1:0|O2:6,Fluvoxamine|Placebo,Clinical Worsening,Clinical Worsening,indicator_123,outcome_287,[],NA
298,NCT04342663,Clinical Deterioration on a Likert-type Scale (0-6),O1:80|O2:72,O1:80|O2:66|O1:0|O2:2|O1:0|O2:0|O1:0|O2:3|O1:0|O2:0|O1:0|O2:1|O1:0|O2:0,Fluvoxamine|Placebo,Deterioration,Detection ,indicator_105,outcome_288,['Deterioration'],NA
299,NCT04425850,Number of Infected Subjects,O1:131|O2:98,O1:0|O2:11,IVER+|IVER-,Infect,Infect,indicator_84,outcome_289,['Infect'],Time Frame: Day 0-14 
300,NCT04425850,Adverse Events Other Than Those Resulting From Contagion or Disease Progression,O1:131|O2:98,O1:0|O2:0,IVER+|IVER-,Adverse Events,Adverse,indicator_10,outcome_290,"['Adverse Events', 'Disease Progression', 'Adverse', 'Adverse Event', 'Progression']",Time Frame: From admission to 14 days after being discharge. 
301,NCT04411667,Mechanical Ventilation,O1:16|O2:17,O1:2|O2:7,Group A (Study Drug+SOC)|Group B (SOC),Mechanical Ventilation ,Mechanical Ventilation ,indicator_60,outcome_291,"['mechanical Ventilation', 'Mechanical Ventilation']","Time Frame: from date of patient admission to date of patient discharge or date of death, whichever came first, assessed up to 45 days "
302,NCT04411667,Oxygen Therapy,O1:0|O2:0,NA,Group A (Study Drug+SOC)|Group B (SOC),Oxygen Therapy ,Oxygen,indicator_8,outcome_292,"['Oxygen', 'Oxygen Therapy']",Time Frame: 28 days after randomization 
303,NCT04411667,Length of Stay,O1:16|O2:17,O1:12|O2:17,Group A (Study Drug+SOC)|Group B (SOC),Length of Stay ,Length of Stay ,indicator_124,outcome_293,['Length of Stay'],Require Mechanical Ventilation
304,NCT04698993,Sensitivity,O1:264|O2:0,O1:96.7,Symptomatic|Asymptomatic,Sensitivity,Sensitivity,indicator_125,outcome_294,[],NA
305,NCT04698993,Specificity,O1:264|O2:0,O1:99.5,Symptomatic|Asymptomatic,Specificity,Specificity,indicator_126,outcome_295,[],NA
306,NCT04698993,Sensitivity in Relation to the Cycle Threshold Value of the Reference RT-PCR (in the Symptomatic Group),O1:69|O2:0,O1:97.8,Symptomatic|Asymptomatic,Symptom,Symptom,indicator_99,outcome_296,"['Symptom', 'RT-PCR']",NA
307,NCT04698993,Sensitivity in Relation to the Time Since Symptom Onset (in the Symptomatic Group),O1:69|O2:0,O1:90.9,Symptomatic|Asymptomatic,Symptom,Symptom,indicator_99,outcome_297,['Symptom'],NA
308,NCT04698993,Specificity in Asymptomatic Participants,O1:0|O2:105,O2:100,Symptomatic|Asymptomatic,Symptom,Symptom,indicator_99,outcome_298,['Symptom'],NA
309,NCT04698993,Frequency of Nosebleed or Unbearable Pain During or Immediately After Specimen Collection,O1:275|O2:113,O1:0|O2:0,Symptomatic|Asymptomatic,Pain,Pain,indicator_127,outcome_299,[],NA
310,NCT04502056,Incidence Rate for Knowledge Gaps: Control vs. Any Intervention,O1:14999|O2:3763,O1:0.214|O2:0.241,Intervention|Control,Incidence Rate,Incidence Rate,indicator_128,outcome_300,[],NA
311,NCT04502056,Incidence Rate for Knowledge Gaps: Control vs. Any Intervention - Follow up,O1:4819|O2:1211,O1:0.241|O2:0.250,Intervention|Control,Incidence Rate,Incidence Rate,indicator_128,outcome_301,[],NA
312,NCT04502056,Incidence Rate for Information-seeking Behavior: Control vs. Any Intervention,O1:14569|O2:3654,O1:0.338|O2:0.320,Intervention|Control,Incidence Rate,Incidence Rate,indicator_128,outcome_302,[],NA
313,NCT04502056,Incidence Rate - Safety Gap Score: Control vs. Any Intervention,O1:4823|O2:1212,O1:0.450|O2:0.465,Intervention|Control,Incidence Rate,Incidence Rate,indicator_128,outcome_303,[],NA
314,NCT04502056,Willingness to Pay (WTP) for Masks: Control vs. Any Intervention,O1:13399|O2:3360,O1:14.580|O2:14.072,Intervention|Control,Willingness to Pay (WTP) for Masks,WTP,indicator_129,outcome_304,[],NA
315,NCT04502056,Incidence Rate Ratio (IRR) - Knowledge Gap,O1:18762|O2:18762|O3:18762|O4:18762|O5:18762|O6:18762,O1:1.01|O2:0.99|O3:1.01|O4:0.99|O5:0.99|O6:0.89,Within Intervention Group: Black Physician (Arm A) vs. White Physician (Arm B)|Within Intervention Group: AMA Anti-racism (Arm A) vs. Either/Neither (Arm B)|Within Intervention Group: Doctor Racial Disparity (Arm A) vs. Either/Neither (Arm B)|Within Control Group: Black Physician (Arm A) vs. White Physician (Arm B)|Within Control Group: AMA Anti-racism vs. Either/Neither|Intervention Group vs. Control Group,Incidence Rate Ratio (IRR),IRR,indicator_130,outcome_305,[],NA
316,NCT04502056,Incidence Rate Ratio (IRR) - Knowledge Gap - Follow up,O1:6030|O2:6030|O3:6030|O4:6030|O5:6030|O6:6030,O1:0.98|O2:0.98|O3:1.01|O4:1.01|O5:0.98|O6:0.97,Within Intervention Group: Black Physician (Arm A) vs. White Physician (Arm B)|Within Intervention Group: AMA Anti-racism (Arm A) vs. Either/Neither (Arm B)|Within Intervention Group: Doctor Racial Disparity (Arm A) vs. Either/Neither (Arm B)|Within Control Group: Black Physician (Arm A) vs. White Physician (Arm B)|Within Control Group: AMA Anti-racism vs. Either/Neither|Intervention Group vs. Control Group,Incidence Rate Ratio (IRR),IRR,indicator_130,outcome_306,[],NA
317,NCT04502056,Incidence Rate Ratio (IRR) - Information-seeking Behavior,O1:18223|O2:18223|O3:18223|O4:18223|O5:18223|O6:18223,O1:1.04|O2:1.03|O3:1.02|O4:0.96|O5:0.97|O6:1.01,Within Intervention Group: Black Physician (Arm A) vs. White Physician (Arm B)|Within Intervention Group: AMA Anti-racism (Arm A) vs. Either/Neither (Arm B)|Within Intervention Group: Doctor Racial Disparity (Arm A) vs. Either/Neither (Arm B)|Within Control Group: Black Physician (Arm A) vs. White Physician (Arm B)|Within Control Group: AMA Anti-racism vs. Either/Neither|Intervention Group vs. Control Group,Incidence Rate Ratio (IRR),IRR,indicator_130,outcome_307,[],NA
318,NCT04502056,Incidence Rate Ratio (IRR) - Safety Gap Score,O1:6035|O2:6035|O3:6035|O4:6035|O5:6035|O6:6035,O1:1.04|O2:1.03|O3:1.01|O4:0.97|O5:0.95|O6:0.93,Within Intervention Group: Black Physician (Arm A) vs. White Physician (Arm B)|Within Intervention Group: AMA Anti-racism (Arm A) vs. Either/Neither (Arm B)|Within Intervention Group: Doctor Racial Disparity (Arm A) vs. Either/Neither (Arm B)|Within Control Group: Black Physician (Arm A) vs. White Physician (Arm B)|Within Control Group: AMA Anti-racism vs. Either/Neither|Intervention Group vs. Control Group,Incidence Rate Ratio (IRR),IRR,indicator_130,outcome_308,[],NA
319,NCT04502056,OLS Regression Coefficients - Willingness to Pay (WTP) for Masks,O1:16759|O2:16759|O3:16759|O4:16759|O5:16759|O6:16759,O1:-0.21|O2:-0.29|O3:0.07|O4:0.17|O5:0.32|O6:0.71,Within Intervention Group: Black Physician (Arm A) vs. White Physician (Arm B)|Within Intervention Group: AMA Anti-racism (Arm A) vs. Either/Neither (Arm B)|Within Intervention Group: Doctor Racial Disparity (Arm A) vs. Either/Neither (Arm B)|Within Control Group: Black Physician (Arm A) vs. White Physician (Arm B)|Within Control Group: AMA Anti-racism vs. Either/Neither|Intervention Group vs. Control Group,Willingness to Pay (WTP) for Masks,WTP,indicator_129,outcome_309,[],NA
320,NCT04491994,Number of Participants With Progression,O1:151|O2:349,O1:5|O2:11,Standard of Care (SOC)|Intervention Group,Progression ,Progression ,indicator_131,outcome_310,['Progression'],Time Frame: 14 days 
321,NCT04491994,Viral Clearance,NA,NA,NA,Viral Clearance ,Viral Clearance,indicator_55,outcome_311,['Viral Clearance'],Time Frame: Pre-SSI 
322,NCT04728802,14 Day Recovery Rate,O1:317|O2:328,O1:258|O2:117,Proxalutamide + Usual Care|Placebo + Usual Care,Recovery,Recovery,indicator_61,outcome_312,['Recovery'],Time Frame: Baseline to Day 29 
323,NCT04728802,28 Day Recovery Rate,O1:317|O2:328,O1:271|O2:155,Proxalutamide + Usual Care|Placebo + Usual Care,Recovery,Recovery,indicator_61,outcome_313,['Recovery'],Time Frame: Day 29 
324,NCT04728802,28 Day Mortality Rate,O1:317|O2:328,O1:35|O2:162,Proxalutamide + Usual Care|Placebo + Usual Care,Mortality,Death ,indicator_16,outcome_314,"['Mortality Rate', 'Mortality']",Time Frame: during the survey administration 
325,NCT04728802,Post-Randomization Time to Recover (Alive Hospital Discharge),O1:317|O2:328,O1:5|O2:10,Proxalutamide + Usual Care|Placebo + Usual Care,discharge,Discharge,indicator_80,outcome_315,"['discharge', 'Discharge', 'Alive', 'Hospital']",Time Frame: Day 1 through Day 29 
326,NCT04422561,"Development of Symptoms ( Fever ,Cough, Sore Throat, Myalgia,Diarrhea, Shortness of Breath)",O1:203|O2:101,O1:15|O2:59,Ivermectin Group|Control Group,Fever ,Fever ,indicator_56,outcome_316,"['Development', 'Symptom', 'Fever']","Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 "
327,NCT04422561,Development of COVID,NA,NA,NA,Development,Development,indicator_132,outcome_317,['Development'],Time Frame: Day 5 
328,NCT04356937,Mechanical Ventilation or Death,O1:161|O2:81,O1:9.9|O2:10.0|O1:10.6|O2:12.5,Tocilizumab|Placebo,Death,Death ,indicator_16,outcome_318,"['mechanical Ventilation', 'Mechanical Ventilation', 'Death']",NA
329,NCT04356937,Clinical Worsening on Ordinal Scale,O1:161|O2:81,O1:18.0|O2:14.9|O1:19.3|O2:17.4,Tocilizumab|Placebo,Ordinal Scale,Ordinal Scale,indicator_79,outcome_319,"['Ordinal Scale', 'ordinal scale']",NA
330,NCT04356937,Discontinuation of Supplemental Oxygen Among Patients Receiving it at Baseline,O1:138|O2:66,O1:75.4|O2:78.8|O1:82.6|O2:84.9,Tocilizumab|Placebo,Oxygen,Oxygen,indicator_8,outcome_320,['Oxygen'],NA
331,NCT04407507,Participants With a Disease Control Status Defined as no Disease Progression to Severe.,O1:30|O2:26,O1:30|O2:26,Ivermectin|Placebo,Disease Progression,Progression,indicator_133,outcome_321,"['Disease Progression', 'Progression']",Time Frame: Day 1 through Day 29 
332,NCT04407507,"SARS-CoV-2 Viral Load, at 5 and 14 Days",O1:30|O2:26|O1:30|O2:26|O1:26|O2:24|O1:21|O2:20,O1:26.17|O2:23.3|O1:30.52|O2:28.5|O1:33.74|O2:32.94,Ivermectin|Placebo|Ivermectin|Placebo|Ivermectin|Placebo|Ivermectin|Placebo,Viral Load ,Viral Load,indicator_95,outcome_322,['Viral Load'],Time Frame: Immediately Post-SSI only 
333,NCT04407507,Presence and Frequency of Symptoms Associated With the COVID-19 Disease,O1:30|O2:26,O1:7.67|O2:5.44|O1:51.7|O2:34.1|O1:29.5|O2:24.6|O1:45.4|O2:38.1|O1:16.7|O2:14.9|O1:32.3|O2:26.9|O1:13|O2:9.74|O1:25.7|O2:17.5|O1:13|O2:7.16|O1:18.9|O2:8.31|O1:19.4|O2:10.9|O1:1.79|O2:0.57|O1:28.6|O2:14.3,Ivermectin|Placebo,Symptom,Symptom,indicator_99,outcome_323,['Symptom'],Time Frame: Approximately 30 days 
334,NCT04390022,Proportion of Patients With a Positive SARS-CoV-2 PCR,O1:12|O2:12,O1:12|O2:12|O1:11|O2:12,Ivermectin|Placebo,Positive,Positive,indicator_108,outcome_324,['Positive'],Time Frame: 14 days 
335,NCT04390022,Median Viral Load,O1:12|O2:12,O1:16850000|O2:26700000|O1:161000|O2:493500|O1:1018|O2:23550|O1:7|O2:30|O1:1|O2:0|O1:367000000|O2:327500000|O1:269000|O2:2194500|O1:2255|O2:36800|O1:86|O2:75|O1:0|O2:107,Ivermectin|Placebo,Viral Load ,Viral Load,indicator_95,outcome_325,['Viral Load'],Time Frame: Pre-SSI only 
336,NCT04390022,Fever and Cough Progression,O1:12|O2:12,O1:0|O2:0|O1:1|O2:0|O1:0|O2:0|O1:0|O2:0|O1:5|O2:6|O1:5|O2:5|O1:1|O2:3|O1:1|O2:3,Ivermectin|Placebo,Fever ,Fever ,indicator_56,outcome_326,"['Fever', 'Progression']","Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 "
337,NCT04390022,Seroconversion at Day 21,O1:12|O2:12,O1:12|O2:12,Ivermectin|Placebo,Seroconversion at Day 21 ,Seroconversion,indicator_134,outcome_327,['Seroconversion at Day 21'],Time Frame: Baseline up to 60 days 
338,NCT04390022,Proportion of Drug-related Adverse Events,O1:12|O2:12,O1:0|O2:0,Ivermectin|Placebo,Adverse Events,Adverse,indicator_10,outcome_328,"['Adverse Events', 'Adverse', 'Adverse Event']",Time Frame: Admission to discharge dates (approximately 4-14 days after admission). Discharge variables considered as the last available data before their death for the expired patients. 
339,NCT04390022,"Levels of IgG, IgM and IgA",NA,NA,NA,IgG,IgG,indicator_135,outcome_329,['IgG'],Time Frame: 28 Days 
340,NCT04390022,Frequency of Innate Immune Cells,NA,NA,NA,Innate Immune Cells ,Innate Immune Cells ,indicator_136,outcome_330,['Innate Immune Cells'],"Time Frame: Baseline, Minutes 5, 10, 15, 30 (15 minutes after treatment ends) "
341,NCT04390022,Frequency SARS-CoV-2-specific CD4+ T and and CD8+ T Cells,NA,NA,NA,CD4+,CD4+,indicator_114,outcome_331,['CD4+'],Time Frame: Baseline 
342,NCT04390022,Results From Cytokine Human Magnetic 30-Plex Panel,NA,NA,NA,Cytokine Human Magnetic 30-Plex Panel ,Cytokine Human Magnetic 30-Plex Panel ,indicator_137,outcome_332,['Cytokine Human Magnetic 30-Plex Panel'],"Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 "
343,NCT04409886,Oxygenation Index,O1:0,NA,HBOT (Hyperbaric Oxygen Therapy),Oxygen,Oxygen,indicator_8,outcome_333,['Oxygen'],NA
344,NCT04399980,Subjects Alive and Off of Oxygen at Day 14,O1:21|O2:19,O1:12|O2:9,Intervention|Control,Off of Oxygen at Day 14 ,Oxygen,indicator_8,outcome_334,"['Oxygen', 'Alive', 'Off of Oxygen at Day 14']",Time Frame: Day 30 
345,NCT04399980,Number of Subjects Alive and Without Respiratory Failure at Day 28,O1:21|O2:19,O1:20|O2:15,Intervention|Control,Without Respiratory Failure at Day 28,Without Respiratory Failure,indicator_138,outcome_335,"['Without Respiratory Failure at Day 28', 'Alive']",Time Frame: 0 to 24 hours post dose 
346,NCT04399980,Mortality at Day 28,O1:21|O2:19,O1:1|O2:3,Intervention|Control,Mortality,Death ,indicator_16,outcome_336,['Mortality'],Time Frame: 7 days post-treatment 
347,NCT04365153,Number of Participants With Clinical Improvement at Day 14,O1:15|O2:14|O3:16,O1:9|O2:7|O3:9,High Dose Intervention|Low Dose Intervention|Control,Improvement,Improvement,indicator_54,outcome_337,"['improvement', 'Improvement']",Time Frame: Day 14 
348,NCT04365153,All-cause Mortality,O1:15|O2:14|O3:16,O1:1|O2:3|O3:3,High Dose Intervention|Low Dose Intervention|Control,Mortality,Death ,indicator_16,outcome_338,['Mortality'],Time Frame: Up to and including day 21 
349,NCT04365153,NA,NA,NA,NA,nan,nan,indicator_104,outcome_339,['nan'],NA
350,NCT04491240,Number of Participants With Non-serious and Serious Adverse Events During Trial,O1:10|O2:10|O3:10,O1:0|O2:0|O3:0|O1:0|O2:0|O3:0,EXO-1|EXO-2|Placebo,Adverse Events,Adverse,indicator_10,outcome_340,"['Adverse Events', 'Adverse', 'Adverse Event']",Time Frame: Admission to discharge dates (approximately 4-14 days after admission). Discharge variables considered as the last available data before their death for the expired patients. 
351,NCT04491240,Number of Participants With Non-serious and Serious Adverse During Inhalation Procedure,O1:10|O2:10|O3:10,O1:0|O2:0|O3:0|O1:0|O2:0|O3:0|O1:0|O2:0|O3:0|O1:0|O2:0|O3:0,EXO-1|EXO-2|Placebo,Adverse,Adverse,indicator_10,outcome_341,['Adverse'],Time Frame: Day 1 to end-of-trial (Visit 9) 
352,NCT04491240,Time to Clinical Recovery (TTCR),O1:10|O2:10|O3:10,O1:13.8|O2:14.8|O3:14.1,EXO-1|EXO-2|Placebo,Recovery,Recovery,indicator_61,outcome_342,['Recovery'],"Time Frame: Baseline, Days 4, 7, 15, 21, and 29 "
353,NCT04491240,C-reactive Protein,O1:10|O2:10|O3:10,O1:78.3|O2:75.4|O3:61.5|O1:5.04|O2:5.83|O3:8.29,EXO-1|EXO-2|Placebo,C-reactive Protein ,CRP,indicator_1,outcome_343,['C-reactive Protein'],Time Frame: 14 days 
