nctid,title,Study_Designs,Other_IDs,Locations,URL
NCT04462393,Characteristics and Outcomes of Patients Admitted to Swedish Intensive Care Units for COVID-19,Observational Model: Cohort|Time Perspective: Other,SweCOVID,"Department of Anaesthesia and Intensive Care, Linkoeping University Hospital, Region Östergötland, Linköping, Östergötland, Sweden",https://ClinicalTrials.gov/show/NCT04462393
NCT04435717,Efficacy of Tocilizumab in Modifying the Inflammatory Parameters of Patients With COVID-19 (COVITOZ-01),Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,COVITOZ-01,"Hospital Universitario Ramón y Cajal, Madrid, Spain",https://ClinicalTrials.gov/show/NCT04435717
NCT04454398,Study to Evaluate STI-1499 (COVI-GUARD) in Patients With Moderate COVID-19,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",GRD-COV-101,NA,https://ClinicalTrials.gov/show/NCT04454398
NCT04887129,Testing for COVID-19 in High Risk Children With Intellectual and Developmental Disabilities (COV-IDD),Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research,STUDY00005294|OT2HD107553-01,"Mary Cariola Center, Rochester, New York, United States",https://ClinicalTrials.gov/show/NCT04887129
NCT04357574,Assessing the System for High-Intensity Evaluation During Radiotherapy During Changes in Response to COVID-19,Observational Model: Other|Time Perspective: Prospective,Pro00105266,"Duke Cancer Center, Durham, North Carolina, United States",https://ClinicalTrials.gov/show/NCT04357574
NCT04505722,A Study of Ad26.COV2.S for the Prevention of SARS-CoV-2-Mediated COVID-19 in Adult Participants,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention",CR108876|VAC31518COV3001,"Synexus Clinical Research US, Inc, Birmingham, Alabama, United States|University of Alabama Birmingham, Birmingham, Alabama, United States|Alabama Vaccine Research Clinic at UAB, Birmingham, Alabama, United States|Optimal Research, Huntsville, Alabama, United States|Synexus Clinical Research US, Inc, Glendale, Arizona, United States|VA Medical Center, Phoenix, Arizona, United States|Central Phoenix Medical Clinic, Phoenix, Arizona, United States|Quality of Life Medical & Research Center, LLC, Tucson, Arizona, United States|Synexus Clinical Research US, Inc, Tucson, Arizona, United States|University of Arkansas for Medical Sciences, Little Rock, Arkansas, United States|Central Arkansas Veterans Healthcare System, Little Rock, Arkansas, United States|Anaheim Clinical Trials, LLC, Anaheim, California, United States|Ark Clinical Research, Long Beach, California, United States|Anthony Mills Medical, Inc, Los Angeles, California, United States|Stanford University Medical Center, Palo Alto, California, United States|UCSD Antiviral Research Center AVRC, San Diego, California, United States|Wr-McCr, Llc, San Diego, California, United States|VA Medical Center, San Francisco, California, United States|Childrens Hospital Colorado, Aurora, Colorado, United States|Rocky Mountain Regional VA Medical Center, Denver, Colorado, United States|Avail Clinical Research, LLC, DeLand, Florida, United States|North Florida South Georgia Veteran Health System, Gainesville, Florida, United States|Velocity Clinical Research, Hallandale Beach, Hallandale Beach, Florida, United States|Research Centers of America, LLC, Hollywood, Florida, United States|Suncoast Research Group, Miami, Florida, United States|University of Miami - Miller School of Medicine, Miami, Florida, United States|Orlando Immunology Center, Orlando, Florida, United States|Advent Health Orlando, Orlando, Florida, United States|Synexus Clinical Research US, Inc, Orlando, Florida, United States|Synexus Clinical Research US, Inc, Pinellas Park, Florida, United States|James A Haley VA Hospital GNS, Tampa, Florida, United States|Synexus Clinical Research US, Inc, The Villages, Florida, United States|Emory University of Medicine, Atlanta, Georgia, United States|The Hope Clinic at Emory University, Decatur, Georgia, United States|Atlanta VA Medical Center, Decatur, Georgia, United States|Northwestern University, Chicago, Illinois, United States|Jesse Brown VAMC Department of Surgery, Chicago, Illinois, United States|Rush University Medical Center, Chicago, Illinois, United States|University of IL Chicago, Chicago, Illinois, United States|The University Of Chicago Medicine, Chicago, Illinois, United States|Optimal Research, Peoria, Illinois, United States|Buynak Clinical Research, Valparaiso, Indiana, United States|Johnson County Clin-Trials, Lenexa, Kansas, United States|Central Kentucky Research Associates, Inc., Lexington, Kentucky, United States|University of Kentucky, Lexington, Kentucky, United States|University of Louisville, Louisville, Kentucky, United States|Benchmark Research, Metairie, Louisiana, United States|Clinical Trials Management, LLC, Metairie, Louisiana, United States|New Orleans Adolescent Trials Unit CRS, New Orleans, Louisiana, United States|Southeast Louisiana Veterans Health Care Center, New Orleans, Louisiana, United States|Ochsner Clinic Foundation, New Orleans, Louisiana, United States|Baltimore VA Medical Center, Baltimore, Maryland, United States|Optimal Research, Rockville, Maryland, United States|Meridian Clinical Research, LLC, Rockville, Maryland, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|The Brigham and Women's Hospital, Inc., Boston, Massachusetts, United States|University of Michigan Neuorsurgery A. Alfred Taubman Health Care Center, Ann Arbor, Michigan, United States|Henry Ford Health System, Detroit, Michigan, United States|Cherry Street Services, Inc., Grand Rapids, Michigan, United States|Abbott Northwestern Hospital Clinic, Minneapolis, Minnesota, United States|University of Mississippi Medical Center, Jackson, Mississippi, United States|MediSync Clinical Research, Petal, Mississippi, United States|The Center For Pharmaceutical Research, Kansas City, Missouri, United States|Saint Louis University, Saint Louis, Missouri, United States|Washington University School of Medicine, Saint Louis, Missouri, United States|Synexus Clinical Research US, Inc, Saint Louis, Missouri, United States|Clinical Research Center of Nevada, Las Vegas, Nevada, United States|Clinical Research Consortium, an AMR company, Las Vegas, Nevada, United States|VA Sierra Nevada Health Care System, Reno, Nevada, United States|Rutgers Robert Wood Johnson Medical School, New Brunswick, New Jersey, United States|Saint Michael's Medical Center, Newark, New Jersey, United States|Raymond G. Murphy VA Medical Center, Albuquerque, New Mexico, United States|Bronx Veterans Affairs Medical Center, Bronx, New York, United States|Meridian Clinical Research, LLC, Endwell, New York, United States|Icahn School of Medicine at Mount Sinai, New York, New York, United States|Harlem Hospital Center, New York, New York, United States|New York Blood Center, New York, New York, United States|Rochester Clinical Research, Inc, Rochester, New York, United States|Tryon Medical Group, Charlotte, North Carolina, United States|Carolina Institute for Clinical Research, Fayetteville, North Carolina, United States|Durham VAMC, Raleigh, North Carolina, United States|Wake Research Associates, Raleigh, North Carolina, United States|Wake Forest Baptist Medical Center, Winston-Salem, North Carolina, United States|Synexus Clinical Research US, Inc, Akron, Ohio, United States|CTI Clinical Trial and Consulting Services, Cincinnati, Ohio, United States|Synexus Clinical Research US, Inc, Cincinnati, Ohio, United States|New Horizons Clinical Research, Cincinnati, Ohio, United States|Rapid Medical Research, Cleveland, Ohio, United States|Synexus Clinical Research US, Inc, Columbus, Ohio, United States|Corvallis Clinic PC, Corvallis, Oregon, United States|Clinical Research Institute of Southern Oregon, P.C., Medford, Oregon, United States|Oregon Health & Science University, Portland, Oregon, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|Temple University Hospital, Philadelphia, Pennsylvania, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States|Synexus Clinical Research US, Inc, Anderson, South Carolina, United States|VA Medical Center, Columbia, South Carolina, United States|Coastal Carolina Research Center, Mount Pleasant, South Carolina, United States|PMG Research of Charleston, LLC, Mount Pleasant, South Carolina, United States|Spartanburg Medical Research, Spartanburg, South Carolina, United States|St Jude Children's Research Hospital, Memphis, Tennessee, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|Benchmark Research, Austin, Texas, United States|Optimal Research, LLC, Austin, Texas, United States|AIDS Arms Incorporated Trinity Health and Wellness Center, Dallas, Texas, United States|Synexus Clinical Research US, Inc, Dallas, Texas, United States|Baylor Scott & White Research Institute, Dallas, Texas, United States|North Texas Infectious Diseases Consultants, Dallas, Texas, United States|Texas Center for Drug Development, Inc, Houston, Texas, United States|Gordon Crofoot, MD, Houston, Texas, United States|Clinical Trials of Texas, Inc, San Antonio, Texas, United States|Synexus Clinical Research US, Inc, San Antonio, Texas, United States|Synexus Clinical Research US, Inc, Murray, Utah, United States|University of Utah, Salt Lake City, Utah, United States|Advanced Clinical Research, West Jordan, Utah, United States|Kaiser Permanente Washington Health Research Institute, Seattle, Washington, United States|CIPREC, Buenos Aires, Argentina|Helios Salud Sa, Buenos Aires, Argentina|CEMEDIC, Buenos Aires, Argentina|Centro Medico Viamonte SRL, Ciudad Autonoma Buenos Aires, Argentina|Clinical Trials Division-Stamboulian Servicios de Salud, Ciudad Autonoma Buenos Aires, Argentina|Clínica y Maternidad Suizo Argentina, Ciudad Autonoma de Buenos Aires, Argentina|Fundacion Huesped, Ciudad Autonoma De Buenos Aire, Argentina|CEMIC Saavedra, Ciudad de Buenos Aires, Argentina|Hospital J. M. Ramos Mejía, Ciudad de Buenos Aires, Argentina|Instituto Medico Platense, La Plata, Argentina|DIM Clinica Privada, Ramos Mejia, Argentina|Faculdade de Medicina Barretos FACISB, Barretos, Brazil|Hospital Das Clinicas Da Universidade Federal De Minas Gerais, Belo Horizonte, Brazil|Santa Casa de Misericordia de Belo Horizonte, Belo Horizonte, Brazil|L2IP - Instituto de Pesquisas Clínicas, Brasília, Brazil|HMCP - Hospital e Maternidade Celso Pierro - PUC-Campinas, Campinas, Brazil|Hospital São José, Criciúma, Brazil|Oncovida - Centro de Onco-Hematologia de Mato Grosso, Cuiabá, Brazil|Hospital Nossa Senhora Das Gracas, Curitiba, Brazil|Centro de Estudos e Pesquisas em Moléstias Infecciosas, Natal, Brazil|Hospital de Clínicas de Porto Alegre, Porto Alegre, Brazil|Hospital Nossa Senhora da Conceicao, Porto Alegre, Brazil|Hospital das Clinicas da Faculdade de Medicina de Ribeirao Preto da Universidade de Sao Paulo, Ribeirão Preto, Brazil|Hospital federal dos servidores do estado, Rio de Janeiro, Brazil|Instituto Brasil de Pesquisa Clinica, Rio de Janeiro, Brazil|Instituto Nacional de Infectologia Evandro Chagas (INI) - FIOCRUZ, Rio de Janeiro, Brazil|Hospital Geral De Nova Igaucu Brazil, Rio de Janeiro, Brazil|Fundação Bahiana De Infectologia, Salvador, Brazil|Universidade Municipal de Sao Caetano do Sul, Sao Caetano do Sul, Brazil|Fundacao Faculdade Regional De Medicina De Sao Jose Do Rio Preto, Sao Jose do Rio Preto, Brazil|Centro de Referencia E Treinamento Dst/Aids, Sao Paulo, Brazil|CPQuali Pesquisa Clinica LTDA ME, São Paulo, Brazil|Instituto de infectologia Emilio Ribas, São Paulo, Brazil|Hospital Sirio Libanes, São Paulo, Brazil|Real e Benemérita Associação Portuguesa de Beneficência, São Paulo, Brazil|CEPIC - Centro Paulista de Investigação Clínica e Serviços Médicos, São Paulo, Brazil|Hospital Das Clinicas Da Faculdade De Medicina Da USP, São Paulo, Brazil|Centro de Estudios Clínicos e Investigación Médica (CeCim), Santiago, Chile|Facultad de Medicina Universidad de Chile, Santiago, Chile|Centro de Investigacion del Maule, Talca, Chile|Hospital Dr Hernan Henriquez Aravena, Temuco, Chile|Clinica de la Costa, Barranquilla, Colombia|Centro de Reumatologia y Ortopedia, Barranquilla, Colombia|Hospital Universidad del Norte, Barranquilla, Colombia|Centro de Atencion e Investigacion Medica S.A. - CAIMED, Bogota, Colombia|Medplus Medicina Prepagada S.A., Bogota, Colombia|Solano y Terront Servicios Médicos Ltda., Bogota, Colombia|Centro de Investigaciones Clinicas S.A.S., Cali, Colombia|Fundación Valle del Lili, Cali, Colombia|Fundación Cardiovascular de Colombia - Instituto del Corazón Floridablanca, Floridablanca, Colombia|Fundacion Oftalmologica de Santander - FOSCAL, Floridablanca, Colombia|Programa de Estudio y Control de Enfermedades Tropicales, Medellin, Colombia|Fundacion Centro de Investigacion Clinica CIC, Medellin, Colombia|Hospital Pablo Tobon Uribe, Medellín, Colombia|Instituto Nacional de Salud Publica, Cuernavaca, Mexico|Unidad de Atención Medica e Investigacion en Salud (UNAMIS), Merida, Mexico|CAIMED Investigacion en salud S.A de C.V., Mexico, Mexico|Hospital Universitario de Nuevo Leon 'Dr Jose Eleuterio Gonzalez', Monterrey, Mexico|Centro de Invetigaciones Medicas, Callao, Peru|Centro de Investigaciones Tecnologicas, Biomedica y medio ambientales (CITBM), Callao, Peru|Asociacion Civil Selva Amazonica (ACSA), Iquitos, Peru|Asociacion Civil Impacta Salud y Educacion - Barranco, Lima - Barranco, Peru|Hospital Nacional Edgardo Rebagliati Martins, Lima, Peru|Hospital Nacional Arzobispo Loayza, Lima, Peru|Asociacion Civil Via Libre, Lima, Peru|Asociacion Civil Impacta Salud y Educacion- San Miguel CRS, Lima, Peru|Josha Research, Bloemfontein, South Africa|Synexus Helderberg Clinical Research Centre, Cape Town, South Africa|Family Clinical Research Unit FAM-CRU, Cape Town, South Africa|TASK Central, Cape Town, South Africa|Desmond Tutu HIV Foundation, Cape Town, South Africa|University of Cape Town IDM/CIDRI Research Site, Cape Town, South Africa|Desmond Tutu Hiv Foundation - University of Cape Town, Cape Town, South Africa|Masiphumelele Research Centre, Cape Town, South Africa|Ndlovu Elandsdoorn Site, Dennilton, South Africa|SA Medical Research Council, Durban, South Africa|SA Medical Research Council, Durban, South Africa|CRISMO Bertha Gxowa Research Centre, Johannesburg, South Africa|Shandukani Research Centre, Johannesburg, South Africa|The Aurum Institute Klerksdorp Clinical Research Centre, Klerksdorp, South Africa|Qhakaza Mbokodo Research Centre, KwaZulu-Natal, South Africa|South African Medical Research Council Chatsworth Clinical Research Site, KwaZulu-Natal, South Africa|Centre for the AIDS Programme of Research in South Africa, KwaZulu-Natal, South Africa|Stanza Clinical Research Centre : Mamelodi, Mamelodi East, South Africa|Mzansi Ethical Research Centre, Middelburg, South Africa|Nelson Mandela Academic Clinical Research Unit 'NeMACRU', Mthatha, South Africa|PHOENIX PHARMA (Pty) Ltd, Port Elizabeth, South Africa|MeCRU Clinical Research Unit, Pretoria, South Africa|Synexus Watermeyer, Pretoria, South Africa|The Aurum Institute Rustenburg Clinical Research Site, Rustenburg, South Africa|Setshaba Research Centre, Soshanguve, South Africa|Perinatal HIV Research Unit (PHRU), Kliptown, Soweto, South Africa|Perinatal HIV Research Unit, Chris Hani Baragwanath Hospital, Soweto, South Africa|The Aurum Institute: Tembisa - Clinic 4, Tembisa, South Africa|CAPRISA Vulindlela Clinic, Vulindlela, South Africa|University of Witwatersrand - Helen Joseph Hospital - Themba Lethu Hiv Research Centre, Westdene Johannesburg Gauteng, South Africa|SATVI, Brewelskloof Hospital, Worcester, South Africa",https://ClinicalTrials.gov/show/NCT04505722
NCT04370288,Clinical Application of Methylene Blue for Treatment of Covid-19 Patients,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,IR.MUMS.REC.1399.122,"Imam Reza Hospital, Mashhad, Razavi Khorasan, Iran, Islamic Republic of",https://ClinicalTrials.gov/show/NCT04370288
NCT04704388,Study Project Comparing the Sequelae of COVID-19 Infection in Patients Who Have and Have Not Received Ventilatory Support in Critical Care,Observational Model: Cohort|Time Perspective: Retrospective,COMEBAC,"Bicêtre Hospital, Le Kremlin-Bicêtre, France",https://ClinicalTrials.gov/show/NCT04704388
NCT04776317,Chimpanzee Adenovirus and Self-Amplifying mRNA Prime-Boost Prophylactic Vaccines Against SARS-CoV-2 in Healthy Adults,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,20-0034|5UM1AI148684-02,"Emory Vaccine Center - The Hope Clinic, Decatur, Georgia, United States|Saint Louis University - Center for Vaccine Development, Saint Louis, Missouri, United States|Baylor College of Medicine - Molecular Virology and Microbiology, Houston, Texas, United States|The University of Washington - Virology Research Clinic, Seattle, Washington, United States",https://ClinicalTrials.gov/show/NCT04776317
NCT04898127,Antigen Rapid Test Screening to Prevent SARS-CoV-2 Transmission (COVID-19) at Mass Gathering Events.,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Screening,CristinID2510078,NA,https://ClinicalTrials.gov/show/NCT04898127
NCT04467840,"Opaganib, a Sphingosine Kinase-2 (SK2) Inhibitor in COVID-19 Pneumonia","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",ABC-201,"ABC-201 Site 901, Detroit, Michigan, United States|ABC-201 Site 408, Belo Horizonte, Brazil|ABC-201 Site 411, Belo Horizonte, Brazil|ABC-201 Site 405, Joinville, Brazil|ABC-201 Site 404, Paraná, Brazil|ABC-201 Site 410, Passo Fundo, Brazil|ABC-201 Site 409, Porto Alegre, Brazil|ABC-201 Site 401, Sao Paulo, Brazil|ABC-201 Site 402, São Bernardo Do Campo, Brazil|ABC-201 Site 403, São Paulo, Brazil|ABC-201 Site 407, Tubarão, Brazil|ABC-201 Site 604, Medellín, Antioquia, Colombia|ABC-201 Site 603, Bogotá, Colombia|ABC-201 Site 605, Cundinamarca, Colombia|ABC-201 Site 602, Medellín, Colombia|ABC-201 Site 601, Santiago de Cali, Colombia|ABC-201 Site 708, Ashkelon, Ashketon, Israel|ABC-201 Site 702, Ashdod, Israel|ABC-201 Site 704, Holon, Israel|ABC-201 Site 701, Jerusalem, Israel|ABC-201,Site 709, Kfar Saba, Israel|ABC-201 Site 705, Nahariya, Israel|ABC-201 Site 706, Nazareth, Israel|ABC-201 Site 703, Safed, Israel|ABC-201 Site 203, Alessandria, Italy|ABC-201 Site 201, Lecco, Italy|ABC-201 Site 202, Milano, Italy|ABC-201 Site 204, Torino, Italy|ABC-201 Site 501, Mexico City, Mexico|ABC-201 Site 503, Sinaloa, Mexico|ABC-201 Site 655, Lima, Peru|ABC-201 Site 303, Bolesławiec, Poland|ABC-201 Site 306, Katowice, Poland|ABC-201 Site 304, Koszalin, Poland|ABC-201 Site 307, Lublin, Poland|ABC-201 Site 302, Ostróda, Poland|ABC-201 Site 301, Racibórz, Poland|ABC-201 Site 305, Wrocław, Poland|ABC-201 Site 308, Łódź, Poland|ABC-201 Site 110, Barnaul, Russian Federation|ABC-201 Site 122, Kirovsk, Russian Federation|ABC-201 Site 101, Moscow, Russian Federation|ABC-201 Site 132, Moscow, Russian Federation|ABC-201 Site 120, Murmansk, Russian Federation|ABC-201 Site 103, Ryazan, Russian Federation|ABC-201 Site 114, Ryazan, Russian Federation|ABC-201 Site 129, Saint Petersburg, Russian Federation|ABC-201 Site 108, Saratov, Russian Federation|ABC-201 Site 102, Smolensk, Russian Federation|ABC-201 Site 109, St Petersburg, Russian Federation|ABC-201 Site 111, St Petersburg, Russian Federation|ABC-201 Site 104, Tver, Russian Federation|ABC-201 Site 118, Volgograd, Russian Federation|ABC-201 Site 112, Yaroslavl, Russian Federation|ABC-201 Site 253, Antrim, United Kingdom|ABC-201 Site 251, Gillingham, United Kingdom|ABC-201 Site 252, Taunton, United Kingdom",https://ClinicalTrials.gov/show/NCT04467840
NCT04866589,COVID-19: The Effectiveness of Free Face Mask Distribution,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,FaceMaskRCT Stovner,NA,https://ClinicalTrials.gov/show/NCT04866589
NCT04352751,Experimental Use of Convalescent Plasma for Passive Immunization in Current COVID-19 Pandemic in Pakistan in 2020,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other,PIPK- 0000 /NIBD-0000/2020,"National Institute of Blood Diseases and Bone Marrow Transplantation (NIBD), Karachi, Sindh, Pakistan",https://ClinicalTrials.gov/show/NCT04352751
NCT04596839,Antiviral Activity and Safety of Remdesivir in Bangladeshi Patients With Severe Coronavirus Disease (COVID-19),Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,BEX-06001,"Combined Military Hospital, Dhaka, Bangladesh",https://ClinicalTrials.gov/show/NCT04596839
NCT04869397,Treatment of Respiratory Complications Associated With COVID-19 Using Umbilical Cord Mesenchymal Stromal Cells,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",2021-6954,"McGill University Health Centre, Montreal, Quebec, Canada",https://ClinicalTrials.gov/show/NCT04869397
NCT04950725,Covid-19 Virtual Recovery Study,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,21-000953,"Mayo Clinic in Arizona, Scottsdale, Arizona, United States",https://ClinicalTrials.gov/show/NCT04950725
NCT04623385,Clinical Role of Testosterone and Dihydrotestosterone and Which of Them Should be Inhibited in COVID-19 Patients - A Double-edged Sword?,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,SARS -2,NA,https://ClinicalTrials.gov/show/NCT04623385
NCT04903184,Exploratory Study to Evaluate the Efficacy of RUTI® Against SARS-COV-2 Infection (COVID-19) in Healthcare Workers,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention",RUTICOVID19-ARG,"Hospital General de Agudos Dr. Ignacio Pirovano, Buenos Aires, Argentina|Hospital Italiano de Buenos Aires, Buenos Aires, Argentina|Hospital General, Mendoza, Argentina|Hospital José Néstor Lencinas, Mendoza, Argentina|Hospital Materno Infantil ""Dr. Héctor Quintana"", San Salvador De Jujuy, Argentina|Hospital de Clínicas Presidente Dr. Nicolás Avellaneda, Tucumán, Argentina",https://ClinicalTrials.gov/show/NCT04903184
NCT04777981,(CBDRA60) to Prevent or Reduce Symptoms of COVID-19 and Prevention of Post-Acute Sequelae of SARS-CoV-2 Infection PASC,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",1001,"Anewsha Therapeutics / Comco R&D, Hanover, Michigan, United States",https://ClinicalTrials.gov/show/NCT04777981
NCT04388670,Epidemiological and Clinical Characteristics of Critically Ill Patients With COVID-19,Observational Model: Cohort|Time Perspective: Other,PoliclinicoH,"Fondazione IRCCS Ca'Granda - Ospedale Maggiore Policlinico, Milan, Italy",https://ClinicalTrials.gov/show/NCT04388670
NCT04498377,Study of F-652 (IL-22:IgG2 Fusion Protein) in Patients With Moderate to Severe COVID-19,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",GC-652-04,"Tulane University School of Medicine, New Orleans, Louisiana, United States",https://ClinicalTrials.gov/show/NCT04498377
NCT04363502,Use of the Interleukin-6 Inhibitor Clazakizumab in Patients With Life-threatening COVID-19 Infection,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",IRB00247932,"Johns Hopkins Hospital, Baltimore, Maryland, United States",https://ClinicalTrials.gov/show/NCT04363502
NCT04783311,"Safety, Tolerance and Immunogenicity of EuCorVac-19 for the Prevention of COVID-19 in Healthy Adults","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention",EuSNAP_COV101,"The Catholic University of Eunpyeong St.Mary's Hospital, Seoul, Korea, Republic of",https://ClinicalTrials.gov/show/NCT04783311
NCT04435314,Efficacy and Safety of Nitazoxanide for Post Exposure Prophylaxis of COVID-19,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention",NITFQM0620OR,NA,https://ClinicalTrials.gov/show/NCT04435314
NCT04384731,Curosurf® in Adult Acute Respiratory Distress Syndrome Due to COVID-19,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,P20/06,"CH Francois Quesnay, Mantes la Jolie, France",https://ClinicalTrials.gov/show/NCT04384731
NCT04914377,To Evaluate the Safety and Efficacy of TQ Formula in Covid-19 Participants,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",BOSS-001,"Respire Research, San Diego, California, United States|United Memorial Medical Center, Houston, Texas, United States",https://ClinicalTrials.gov/show/NCT04914377
NCT04374487,Assess the Safety and Efficacy of Convalescent Plasma to Limit COVID-19 Associated Complications,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,MHC-COVID-19-CP,"Max Super Speciality hospital, Saket (A unit of Devki Devi Foundation), New Delhi, Delhi, India",https://ClinicalTrials.gov/show/NCT04374487
NCT04640181,Factor Xa Inhibitor Versus Standard of Care Heparin in Hospitalized Patients With COVID-19 (XACT),Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2020-001708-41,"St. David's Medical Center, Austin, Texas, United States",https://ClinicalTrials.gov/show/NCT04640181
NCT04902183,Safety and Efficacy of Exosomes Overexpressing CD24 in Two Doses for Patients With Moderate or Severe COVID-19,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,NS3,"3rd Department of Medicine, ""Sotiria"" Thoracic Diseases General Hospital of Athens, Athens, Attica, Greece|Attikon University Hospital, Athens, Attica, Greece|7th Respiratory Medicine Department, ""Sotiria"" Thoracic Diseases General Hospital of Athens, Athens, Attika, Greece",https://ClinicalTrials.gov/show/NCT04902183
NCT04502472,Open-label Treatment of Severe Coronavirus Disease 2019 (COVID-19) With Convalescent Plasma,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Inova COVID-19 CCP,"Inova Fairfax Medical Campus, Falls Church, Virginia, United States",https://ClinicalTrials.gov/show/NCT04502472
NCT04584411,Patterns of Arrhythmias and Conduction Block in COVID-19 Patients and Its Relation to Myocardial Injury Detected by Cardiac Magnetic Resonance,Observational Model: Cohort|Time Perspective: Prospective,arrhythmias in COVID-19,NA,https://ClinicalTrials.gov/show/NCT04584411
NCT04848441,Risk of COVID-19 Infection After Vaccination,Observational Model: Cohort|Time Perspective: Retrospective,VACC-COV-19,NA,https://ClinicalTrials.gov/show/NCT04848441
NCT04377685,Prediction of Clinical Course in COVID19 Patients,Observational Model: Cohort|Time Perspective: Retrospective,20CH109|IRBN652020/CHUSTE,"Chu Saint-Etienne, Saint-Étienne, France",https://ClinicalTrials.gov/show/NCT04377685
NCT04563689,Pilot Study to Evaluate Effect of CHX0.12/CPC 0.05 of SARS-CoV-2 Viral Load in COVID-19 Patients,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Other,COVID-POC1,"Escuela odontologia. Facultad de Salud Hospital del Valle, Cali, Colombia",https://ClinicalTrials.gov/show/NCT04563689
NCT04418128,Clinical Efficacy of Nafamostat Mesylate for COVID-19 Pneumonia,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2020-04-012,NA,https://ClinicalTrials.gov/show/NCT04418128
NCT04685655,RescuE pLAsma eXchange in Severe COVID-19,Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,S-911/2020,"Heidelberg University Hospital, Heidelberg, Baden-Württemberg, Germany|Klinikum Stuttgart, Stuttgart, Baden-Württemberg, Germany|University Hospital Essen, Essen, Nordrhein-Westfalen, Germany",https://ClinicalTrials.gov/show/NCT04685655
NCT04810637,A Study to Evaluate the Safety and Efficacy of GX-I7 in Elderly Patients With Asymptomatic or Mild Symptoms of COVID-19,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",GXI7KGBio-001,"Mitra Keluarga Kelapa Gading, Jakarta Pusat, Indonesia|Mitra Keluarga Kemayoran, Jakarta Pusat, Indonesia",https://ClinicalTrials.gov/show/NCT04810637
